CL1Dates,CL1Open,CL1Close,CL1Value,CL1Volume,NG1Dates,NG1Open,NG1Close,NG1Value,NG1Volume,HO1Dates,HO1Open,HO1Close,HO1Value,HO1Volume,WDates,WOpen,WClose,WValue,WVolume,CDates,COpen,CClose,CValue,CVolume,SDates,SOpen,SClose,SValue,SVolume,BO1Dates,BO1Open,BO1Close,BO1Value,BO1Volume,HG1Dates,HG1Open,HG1Close,HG1Value,HG1Volume,GC1Dates,GC1Open,GC1Close,GC1Value,GC1Volume,CT1Dates,CT1Open,CT1Close,CT1Value,CT1Volume,LC1Dates,LC1Open,LC1Close,LC1Value,LC1Volume
5/31/23 23:30,67.51,67.7,37470.11,554,5/31/23 23:30,2.256,2.256,176.027,78,5/31/23 23:30,223.75,223.88,8732.07,39,6/1/23 1:30,595,595.5,63105.25,106,6/1/2023 1:30,594.75,595,276688.25,465,6/1/23 1:30,1302.5,1302.5,728032.25,559,6/1/23 1:30,46.18,46.25,3464.6,75,5/31/23 23:30,366.65,366.75,49506.6,135,5/31/23 23:30,1965.2,1965.2,1965.2,1,6/1/23 2:30,83.96,84.04,7728.27,92,6/1/23 15:00,169.4,169.175,185458.422,1095
6/1/23 0:00,67.69,67.69,22132.73,327,6/1/23 0:00,2.256,2.258,374.734,166,6/1/23 0:00,223.88,223.53,11410.45,51,6/1/23 2:00,595.5,598.25,253754,425,6/1/2023 2:00,595,595.75,208445.5,350,6/1/23 2:00,1302.25,1305.75,1634434.25,1253,6/1/23 2:00,46.22,46.37,9122,197,6/1/23 0:00,366.75,366.85,70428.4,192,6/1/23 0:00,1966,1966,1966,1,6/1/23 3:00,84.04,84.1,1765.94,21,6/1/23 15:30,169.2,170.275,313593.531,1845
6/1/23 0:30,67.69,67.72,32567.97,481,6/1/23 0:30,2.257,2.256,266.267,118,6/1/23 0:30,223.53,223.9,6712,30,6/1/23 2:30,598,599.25,200507.5,335,6/1/2023 2:30,596,597.5,312157.5,523,6/1/23 2:30,1306,1310.75,1802869.25,1378,6/1/23 2:30,46.37,46.5,15917.96,343,6/1/23 0:30,366.85,367,102759.56,280,6/1/23 0:30,1966.7,1966.8,29501.3,15,6/1/23 3:30,84.14,84.3,4039.77,48,6/1/23 16:00,170.275,171.375,320612.938,1876
6/1/23 1:00,67.71,67.68,109403.03,1615,6/1/23 1:00,2.257,2.262,890.737,394,6/1/23 1:00,223.98,223.98,29590.68,132,6/1/23 3:00,599,599,234621.5,391,6/1/2023 3:00,597.25,597.25,261128.75,437,6/1/23 3:00,1310.5,1309.5,767840,586,6/1/23 3:00,46.49,46.46,13112.01,282,6/1/23 1:00,367,366.6,306145.02,834,6/1/23 1:00,1966.6,1966.6,3933.2,2,6/1/23 4:00,84.35,84.6,4730.37,56,6/1/23 16:30,171.35,172.075,383372.25,2228
6/1/23 1:30,67.68,67.65,44868.65,663,6/1/23 1:30,2.262,2.262,499.603,221,6/1/23 1:30,224.01,224.09,6719.73,30,6/1/23 3:30,599.25,600.5,86987.25,145,6/1/2023 3:30,597.5,598,96267.25,161,6/1/23 3:30,1309.75,1311.5,715726.75,546,6/1/23 3:30,46.47,46.56,14621.66,314,6/1/23 1:30,366.55,365.8,379677.49,1037,6/1/23 2:30,1962,1962.1,7847.9,4,6/1/23 4:30,84.65,84.77,22369.38,264,6/1/23 17:00,172.125,172.675,171082.078,992
6/1/23 2:00,67.67,67.98,262903.56,3872,6/1/23 2:00,2.261,2.261,486.015,215,6/1/23 2:00,224.11,225.1,19097.98,85,6/1/23 4:00,600.5,601.5,107020.25,178,6/1/2023 4:00,598.25,598.5,205269.75,343,6/1/23 4:00,1311.25,1313.5,1093260.25,833,6/1/23 4:00,46.55,46.69,17400.09,373,6/1/23 2:00,365.8,365.4,1065436.72,2916,6/1/23 5:00,1963.8,1963.8,1963.8,1,6/1/23 5:00,84.76,84.75,762.83,9,6/1/23 17:30,172.65,173.875,405609.063,2335
6/1/23 2:30,67.98,68.34,238100.55,3495,6/1/23 2:30,2.262,2.264,823.453,364,6/1/23 2:30,225.08,225.78,44393.87,197,6/1/23 4:30,601.25,602,70996.75,118,6/1/2023 4:30,598.75,598.75,71831.5,120,6/1/23 4:30,1313.25,1312.5,381952,291,6/1/23 4:30,46.69,46.67,3828.98,82,6/1/23 2:30,365.4,368.65,1492509.96,4069,6/1/23 6:30,1964.6,1962,7855.4,4,6/1/23 5:30,84.75,84.7,1100.73,13,6/1/23 18:00,173.85,174.15,387150.125,2220
6/1/23 3:00,68.33,68.33,255922.23,3744,6/1/23 3:00,2.263,2.264,443.731,196,6/1/23 3:00,225.77,226,23501.6,104,6/1/23 5:00,602,601.5,170231,283,6/1/2023 5:00,598.75,598.75,159292,266,6/1/23 5:00,1312.5,1312,202090.5,154,6/1/23 5:00,46.66,46.68,2986.21,64,6/1/23 3:00,368.7,368.45,763561.04,2071,6/1/23 7:30,1960.8,1960.8,3921.6,2,6/1/23 6:00,84.76,84.89,6278.65,74,6/1/23 18:30,174.175,174.8,220302.422,1262
6/1/23 3:30,68.33,68.52,174975.83,2555,6/1/23 3:30,2.263,2.264,230.898,102,6/1/23 3:30,226.04,226.51,12223.88,54,6/1/23 5:30,601.25,600.75,70281,117,6/1/2023 5:30,598.75,598,211193,353,6/1/23 5:30,1312,1311.5,292425.5,223,6/1/23 5:30,46.68,46.65,1259.73,27,6/1/23 3:30,368.5,369.05,902825.78,2444,6/1/23 8:00,1960.7,1957.5,7837.2,4,6/1/23 6:30,84.93,85.17,23045.16,271,6/1/23 19:00,174.775,174.925,50014.699,286
6/1/23 4:00,68.51,68.58,130867.85,1909,6/1/23 4:00,2.264,2.265,228.663,101,6/1/23 4:00,226.46,226.45,16531.72,73,6/1/23 6:00,600.5,600.25,130744.5,218,6/1/2023 6:00,598,598.25,129780,217,6/1/23 6:00,1311.25,1312.25,574561.5,438,6/1/23 6:00,46.66,46.65,5597.12,120,6/1/23 4:00,369.05,369.05,390093.09,1057,6/1/23 8:30,1955,1955.4,19552,10,6/1/23 7:00,85.23,85.44,33510.37,393,6/2/23 14:30,175.025,176.4,532778.875,3023
